Moniker,Main Url,Bias,Reliability,Mediatype
NPR: Code Switch,https://www.npr.org/podcasts/510312/codeswitch,-16.54,36.87,Podcast/Audio
NPR: Up First,https://www.npr.org/podcasts/510318/up-first,-9.44,43.07,Podcast/Audio
NutriTruth,http://nutritruth.org,26.29,8.00,Web/Articles
NY Daily News,http://nydailynews.com,-8.10,34.12,Web/Articles
NYT: The Daily,https://www.nytimes.com/column/the-daily,-9.63,41.56,Podcast/Audio
OAN Network (website),https://www.oann.com/,14.02,28.46,Web/Articles
OAN TV Network,https://www.oann.com/schedule/,22.33,16.33,TV/Video
Orange County Register,http://ocregister.com,5.43,40.58,Web/Articles
OutKick,http://outkick.com,13.94,27.10,Web/Articles
Palmer Report,https://www.palmerreport.com/,-23.36,19.18,Web/Articles
Patch,http://patch.com,-3.54,46.09,Web/Articles
PBS,https://www.pbs.org/,-3.93,43.42,Web/Articles
PBS News Hour,https://www.pbs.org/show/newshour,-8.68,43.48,TV/Video
People Magazine,http://people.com,-5.53,41.58,Web/Articles
PJ Media,https://pjmedia.com/,21.59,18.80,Web/Articles
Pod Save America,https://crooked.com/podcast-series/pod-save-america/,-22.94,27.55,Podcast/Audio
Politico,https://www.politico.com/,-5.33,42.37,Web/Articles
Politifact,http://politifact.com,-3.51,44.67,Web/Articles
PolitiZoom,http://politizoom.com,-19.11,17.54,Web/Articles
Poynter,http://poynter.org,-7.32,41.75,Web/Articles
PragerU,http://prageru.com,18.63,23.34,TV/Video
ProPublica,https://www.propublica.org/,-6.79,47.27,Web/Articles
Published Reporter,http://publishedreporter.com,15.48,26.86,Web/Articles
Quillette,http://quillette.com,9.27,37.53,Web/Articles
Rasmussen Reports,http://rasmussenreports.com,13.78,34.05,Web/Articles
Raw Story,http://rawstory.com,-13.54,34.94,Web/Articles
RealClearPolitics,http://realclearpolitics.com,14.45,26.90,Web/Articles
Reason,https://reason.com/,4.72,36.29,Web/Articles
Rebel News,http://rebelnews.com,12.16,27.06,Web/Articles
RedState,https://www.redstate.com/,21.57,20.85,Web/Articles
Reuters,https://www.reuters.com/,-1.25,44.98,Web/Articles
Right Wing Watch | People For the American Way,https://www.peoplefor.org/rightwingwatch,-18.22,27.23,Web/Articles
Rolling Stone,http://rollingstone.com,-13.76,26.24,Web/Articles
RT Russia Today,http://rt.com,11.46,28.66,Web/Articles
Rumble with Michael Moore,https://www.michaelmoore.com/archive,-22.14,24.95,Podcast/Audio
Salon,http://salon.com,-13.48,32.98,Web/Articles
Scripps News (website),https://scrippsnews.com/,-1.72,43.68,Web/Articles
Scripps News: Weekend,https://www.scrippsnews.com/shows/scripps-news-weekend,-5.11,44.33,TV/Video
Sky News,https://news.sky.com/,-0.78,41.79,Web/Articles
Slate,https://slate.com/,-12.68,35.38,Web/Articles
SmartLess,https://www.smartless.com/episodes,-15.97,35.50,Podcast/Audio
Socialist Alternative,http://socialistalternative.org,-23.80,26.17,Web/Articles
Straight Arrow News,https://san.com,1.22,39.50,Web/Articles
Talking Points Memo,http://talkingpointsmemo.com/,-11.79,35.81,Web/Articles
Tangle,https://www.readtangle.com,1.58,43.04,Web/Articles
Teen Vogue,http://teenvogue.com,-15.50,37.79,Web/Articles
The American Conservative,https://www.theamericanconservative.com,14.44,31.63,Web/Articles
The American Spectator,http://spectator.org,22.83,17.64,Web/Articles
The Atlantic,https://www.theatlantic.com/,-9.31,38.05,Web/Articles
The Ben Shapiro Show,https://www.dailywire.com/show/the-ben-shapiro-show,19.62,25.39,Podcast/Audio
The Blaze,https://www.theblaze.com/,13.33,30.95,Web/Articles
The Bulwark,http://thebulwark.com,-3.36,34.25,Web/Articles
The Bulwark Podcast,https://podcast.thebulwark.com/,-14.95,32.47,Podcast/Audio
The Center Square,http://thecentersquare.com,3.84,40.29,Web/Articles
